2017-04-06 21:47:56,499 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.arpit.java2blog:SpringRestHibernateExample:0.0.1-SNAPSHOT @ E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\pom.xml.
2017-04-06 21:47:58,347 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:47:58,349 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\main\resources
2017-04-06 21:47:58,352 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:47:58,353 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\test\resources
2017-04-06 21:47:59,202 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.arpit.java2blog:SpringRestHibernateExample:0.0.1-SNAPSHOT @ E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\pom.xml.
2017-04-06 21:47:59,363 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:47:59,365 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\main\resources
2017-04-06 21:47:59,368 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:47:59,368 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\test\resources
2017-04-06 21:48:52,004 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:48:52,005 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\main\resources
2017-04-06 21:48:52,007 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:48:52,007 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\test\resources
2017-04-06 21:49:16,658 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.arpit.java2blog:SpringRestHibernateExample:0.0.1-SNAPSHOT @ E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\pom.xml.
2017-04-06 21:49:17,340 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:49:17,341 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\main\resources
2017-04-06 21:49:17,343 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:49:17,344 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\test\resources
2017-04-06 21:49:18,075 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.arpit.java2blog:SpringRestHibernateExample:0.0.1-SNAPSHOT @ E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\pom.xml.
2017-04-06 21:49:37,611 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:49:37,612 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\main\resources
2017-04-06 21:49:37,613 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:49:37,614 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample-master\SpringRestHibernateExample-master\SpringRestHibernateExample\src\test\resources
2017-04-06 21:51:23,525 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.arpit.java2blog:SpringRestHibernateExample:0.0.1-SNAPSHOT @ E:\server\workspace\lotteryServer\SpringRestHibernateExample\pom.xml.
2017-04-06 21:51:24,243 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:51:24,244 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\main\resources
2017-04-06 21:51:24,246 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-06 21:51:24,247 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\server\workspace\lotteryServer\SpringRestHibernateExample\src\test\resources
